"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"81",12.460325,62.723437,"2285779983",4,61,228,7195,153,-116,268,105,-22,105,-87,659,85,32,29,233,100,233,157
"82",12.322631,62.720403,"2285796112",13,61,227,7213,162,-106,269,115,-12,115,-78,527,69,27,29,192,82,192,123
"83",12.30038,62.722564,"2285796130",12,61,227,7211,162,-107,269,114,-13,114,-79,527,70,27,30,194,82,194,122
"84",13.879825,60.294589,"2285822533",40,68,236,7627,198,-92,290,144,-34,146,-59,829,95,39,27,279,131,275,133
"85",14.410513,60.17125,"2285822617",43,68,235,7572,201,-88,289,147,-31,149,-55,679,78,33,26,233,111,222,112
"86",19.726389,42.389721,"2294434869",54,85,301,6812,205,-77,281,-14,144,150,-35,2267,349,53,49,1001,181,211,844
"87",-148.330422,63.353468,"2294468512",-34,66,172,11516,163,-220,383,111,-49,122,-187,362,55,11,49,159,36,151,69
"88",-128.601533,60.018958,"2294488093",2,78,198,11283,201,-193,394,149,-13,149,-157,386,55,14,35,157,45,157,87
"89",-135.667853,57.015811,"2294553060",75,20,152,3909,146,15,131,98,122,134,29,2693,424,93,42,1167,319,475,652
"90",32.412107,67.158679,"2294558187",10,58,176,9274,190,-141,332,142,-25,142,-115,533,66,27,28,184,84,184,97
"91",-119.810319,38.484635,"2294655971",38,122,375,6805,220,-106,325,-49,138,138,-49,1101,208,15,72,573,45,45,573
"92",-135.310768,57.093385,"2294658230",40,24,170,4182,116,-25,142,63,92,102,-9,3129,496,109,42,1343,365,534,921
"93",17.570463,62.533031,"2295134064",44,52,188,7647,193,-82,275,152,-55,152,-55,656,75,34,26,217,115,217,115
"94",14.608556,60.142091,"2295146523",39,68,236,7528,196,-92,288,142,-35,144,-59,741,86,37,25,253,119,234,124
"95",14.453219,60.274654,"2295160735",41,68,235,7594,198,-91,289,144,-34,147,-58,751,88,36,27,262,118,248,121
"96",12.740985,62.740003,"2295160893",0,61,227,7211,149,-120,269,101,-25,101,-91,664,89,32,31,243,100,243,152
"97",14.593051,65.680205,"2295162423",6,50,189,7396,151,-113,264,28,24,110,-89,738,79,33,26,235,101,201,189
"98",19.683363,63.995612,"2295164676",29,60,195,8518,196,-110,306,146,-3,150,-82,594,74,31,28,217,98,185,106
"99",14.018129,60.20259,"2295176957",41,68,236,7590,198,-91,289,144,-34,147,-58,832,95,40,27,277,132,275,137
"100",12.704657,62.876605,"2295177806",0,61,227,7174,149,-119,268,101,-25,101,-90,598,85,30,33,231,92,231,134
"101",13.460841,62.363081,"2295186592",22,63,227,7490,176,-104,279,127,-49,127,-74,520,77,22,41,217,68,217,72
"102",12.376206,63.159861,"2295201151",13,60,227,7087,160,-104,264,113,-13,113,-76,568,71,30,27,194,92,194,139
"103",12.707442,62.894493,"2295201303",6,61,227,7191,155,-114,268,107,-61,107,-85,532,77,27,33,210,81,210,116
"104",12.351736,63.163536,"2295205451",11,60,227,7074,157,-106,264,110,-15,110,-78,583,73,32,27,198,97,198,142
"105",9.768906,61.916332,"2302496224",-37,60,230,7002,107,-153,260,62,-61,62,-126,625,94,25,45,269,80,269,111
"106",9.251175,62.126682,"2302496326",6,58,225,7036,149,-110,259,104,-18,104,-84,369,51,15,34,143,50,142,86
"107",12.487571,62.706512,"2302643516",6,61,227,7211,155,-114,269,107,-20,107,-85,566,77,28,31,214,85,214,129
"108",15.42834,65.12512,"2302702407",-20,53,193,7647,132,-145,277,87,-51,88,-118,676,95,33,32,261,109,251,124
"109",12.34278,63.175468,"2302766413",-1,60,228,7025,145,-118,262,64,20,98,-90,758,88,41,26,256,123,238,191
"110",16.628328,64.327633,"2302870504",21,62,206,8154,185,-114,300,133,-56,137,-83,611,90,30,35,248,92,243,104
"111",23.482177,66.45101,"2302917446",7,61,181,9427,188,-147,335,134,-25,141,-117,609,73,33,26,211,102,200,114
"112",15.488842,65.109161,"2302948451",-7,54,193,7714,147,-132,279,101,-37,102,-106,605,89,30,33,233,97,232,112
"113",12.581157,62.533661,"2302950540",17,62,226,7312,168,-105,272,120,-9,120,-76,574,79,28,33,220,85,220,98
"114",12.327805,63.179878,"2302955427",-9,60,229,6991,136,-125,261,56,12,89,-97,896,105,48,26,304,146,279,228
"115",12.702609,62.876966,"2302984527",0,61,227,7174,149,-119,268,101,-25,101,-90,598,85,30,33,231,92,231,134
"116",16.430519,64.359317,"2302991501",19,61,206,8072,181,-116,297,129,-58,133,-85,664,94,33,35,274,103,253,116
"117",46.005044,42.556498,"2311309335",10,91,278,8086,177,-151,328,115,-98,122,-98,822,124,22,58,368,68,364,72
"118",18.721967,68.365869,"2311371031",-30,55,182,8559,133,-171,304,89,-2,91,-138,579,69,26,29,205,82,173,145
"119",-119.282075,37.877995,"2311387665",33,121,371,6938,214,-112,326,-47,136,136,-55,629,99,15,60,285,50,50,284
"120",14.17139,47.23528,"2313540683",15,83,295,6897,160,-122,282,109,-73,109,-79,885,119,36,39,355,111,355,127
"121",8.882218,61.828537,"2313618228",8,58,221,7128,152,-110,262,108,-15,108,-83,352,51,14,37,144,45,144,76
"122",19.693838,69.726842,"2313621950",29,39,170,6677,153,-78,231,49,45,126,-55,701,90,34,27,244,107,173,198
"123",9.20262,61.432376,"2313628474",4,58,223,7138,150,-112,263,103,-61,105,-87,528,69,21,38,207,71,200,100
"124",8.862797,60.791768,"2313628704",13,59,227,7054,160,-101,261,114,-11,114,-75,733,97,31,35,273,100,273,148
"125",7.194724,59.824152,"2313632470",11,59,238,6603,149,-99,248,30,31,104,-71,1140,137,47,32,392,153,255,298
"126",18.997778,69.633266,"2313655607",17,35,164,6236,131,-83,214,36,30,108,-62,1097,139,56,24,389,181,269,278
"127",19.103438,69.719258,"2313684291",30,34,162,6098,142,-67,209,49,83,120,-46,1109,143,54,27,398,178,245,298
"128",24.901048,70.173082,"2313684425",17,49,181,7583,168,-105,272,126,-57,126,-78,420,55,21,32,163,67,163,82
"129",8.038952,60.503111,"2313685707",7,58,228,6893,150,-105,255,23,-18,105,-80,737,79,35,22,230,119,207,199
"130",8.035448,60.441855,"2313705037",-4,58,230,6836,138,-116,254,12,-29,92,-90,806,90,40,23,258,133,230,208
"131",8.478551,60.392158,"2313710616",9,59,231,6918,154,-104,258,106,-17,107,-78,591,70,29,29,206,90,204,132
"132",18.712491,69.15082,"2317013879",2,48,181,7483,142,-120,263,23,72,108,-93,1066,130,50,28,367,156,247,306
"133",19.678351,69.712837,"2317861515",29,40,170,6715,154,-79,233,49,46,127,-56,705,91,34,27,246,107,175,201
"134",24.774502,70.148802,"2320720284",16,49,181,7585,166,-106,272,125,-18,125,-80,392,48,21,29,143,63,143,79
"135",7.677146,60.417739,"2320904165",-1,58,230,6790,140,-112,252,15,19,95,-87,845,98,39,23,280,127,201,245
"136",6.438872,60.041714,"2321157457",19,55,237,6165,147,-83,230,-41,78,106,-58,1761,223,71,36,643,225,325,513
"137",8.063512,60.54941,"2323646780",-5,58,229,6856,137,-116,254,11,-30,92,-91,835,95,43,23,273,141,234,214
"138",8.89934,60.785271,"2328082843",11,59,228,7044,158,-103,261,110,-14,111,-77,744,98,33,35,280,104,277,146
"139",24.904893,70.175672,"2328125590",16,49,181,7568,166,-105,272,125,-17,125,-79,447,58,23,31,171,71,171,88
"140",19.093673,66.598856,"2328693886",7,60,190,8845,180,-136,316,128,-23,133,-106,491,80,22,43,220,69,207,73
"141",13.340458,63.089906,"2328710878",5,61,223,7271,155,-116,271,108,-63,108,-87,518,78,27,35,210,81,210,87
"142",14.881653,65.336071,"2328742859",7,52,189,7612,157,-117,273,114,27,114,-91,623,78,28,27,204,88,204,145
"143",18.794606,66.647295,"2328781901",4,59,188,8770,176,-137,313,124,-26,129,-108,461,74,21,41,202,66,193,72
"144",17.106492,64.940784,"2328843982",16,60,201,8194,180,-119,298,132,-63,132,-90,569,89,28,37,234,88,234,93
"145",19.234727,66.904955,"2328848882",6,58,186,8834,179,-135,314,128,-24,133,-106,494,81,22,44,225,69,209,72
"146",17.1149,64.97903,"2328902044",15,60,200,8194,179,-119,298,132,-63,132,-90,536,86,25,39,227,81,227,84
"147",16.733943,64.978528,"2328996850",12,58,199,8054,174,-119,293,127,-17,127,-91,649,96,32,35,257,99,257,111
"148",15.890838,64.796298,"2329046921",12,56,197,7878,170,-117,286,124,-17,124,-89,586,89,28,36,237,89,237,96
