"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"85",17.564489,59.820459,"2603937606",61,59,214,7290,210,-65,275,164,-15,164,-35,577,77,28,32,219,86,219,95
"86",17.109466,58.674444,"2604486819",70,43,179,6755,201,-39,241,168,-2,168,-17,562,64,30,25,190,91,190,103
"87",17.101471,58.67465,"2604533822",70,43,179,6760,202,-39,241,169,-2,169,-16,560,64,30,25,190,91,190,103
"88",17.105989,58.673734,"2604557820",70,43,179,6760,202,-39,241,169,-2,169,-16,560,64,30,25,190,91,190,103
"89",17.105495,58.676704,"2604571809",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
"90",17.11261,58.668638,"2604592825",70,43,179,6755,201,-39,241,168,-2,168,-17,562,64,30,25,190,91,190,103
"91",17.105495,58.676704,"2604660826",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
"92",17.106699,58.670684,"2604663826",70,43,179,6760,202,-39,241,169,-2,169,-16,560,64,30,25,190,91,190,103
"93",16.828149,59.035256,"2604696020",65,59,221,7103,212,-57,269,165,-9,165,-27,589,72,31,26,200,95,200,103
"94",17.067245,58.671175,"2604711950",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"95",17.071898,58.671936,"2604737957",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"96",17.069311,58.671063,"2604738948",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"97",17.073228,58.672581,"2604739948",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"98",17.074135,58.67088,"2604747946",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"99",17.074054,58.671035,"2604761945",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"100",17.078213,58.669745,"2604762952",70,44,181,6772,202,-40,242,169,-2,169,-17,559,64,30,25,190,91,190,103
"101",17.063571,58.673776,"2604771952",70,44,183,6775,203,-40,243,169,-2,169,-16,558,64,30,25,190,91,190,103
"102",17.063858,58.673309,"2604777960",70,44,183,6775,203,-40,243,169,-2,169,-16,558,64,30,25,190,91,190,103
"103",17.073228,58.672581,"2604778948",70,44,182,6772,203,-40,242,169,-2,169,-16,554,64,30,26,188,90,188,100
"104",11.498704,48.147411,"2610936734",90,79,291,6758,232,-40,272,178,2,182,0,993,132,51,35,392,156,364,169
"105",12.095222,58.536856,"2618859041",70,57,228,6633,205,-44,250,46,41,162,-17,863,97,49,23,289,155,224,179
"106",17.067299,58.679758,"2618878768",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"107",17.069733,58.678367,"2618883777",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"108",17.064011,58.677536,"2618894780",70,45,183,6778,202,-41,243,168,-2,168,-17,558,64,30,25,190,91,190,103
"109",17.070685,58.680319,"2618913781",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"110",17.065987,58.676457,"2618921785",70,45,183,6778,202,-41,243,168,-2,168,-17,558,64,30,25,190,91,190,103
"111",17.076408,58.676471,"2618937785",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"112",17.092487,58.670493,"2618971459",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"113",13.546487,58.182267,"2618973110",59,67,252,6733,204,-61,264,152,-12,152,-29,696,74,34,24,220,114,220,118
"114",17.073434,58.675826,"2619088774",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"115",17.606728,59.834442,"2619095937",62,58,211,7280,210,-64,274,164,-14,164,-34,549,72,27,32,210,83,210,91
