"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"52",100.25,16.83,"912411754",279,64,395,2055,351,188,163,285,244,304,244,1325,253,6,81,731,19,143,19
"53",98.9,18.83,"912411996",211,68,368,2530,299,113,186,222,182,239,167,1418,274,9,79,802,29,445,38
"54",101.67,16.83,"912411797",237,65,421,2195,297,143,154,248,197,259,197,966,180,5,74,501,17,342,17
"55",109.883333,1.683333,"2513659902",268,41,711,497,299,242,57,260,273,275,260,3838,678,180,46,1832,546,584,1832
"56",110.585686,25.60168,"1030927740",193,65,233,7382,317,36,281,225,120,287,85,1612,271,51,51,778,179,415,185
"57",104.702829,23.125462,"1303975635",184,61,328,4438,261,76,185,235,114,235,114,1295,270,18,81,757,56,757,56
"58",104.702829,23.125462,"1303975685",184,61,328,4438,261,76,185,235,114,235,114,1295,270,18,81,757,56,757,56
"59",97.92,3.08,"2513103369",260,52,771,359,295,228,67,257,262,265,255,2175,238,127,19,682,400,554,637
"60",97.333333,3.983333,"2513661069",215,58,783,373,254,179,74,210,217,220,210,2385,269,132,22,759,402,457,733
"61",119.770249,-3.56508,"2513102919",268,38,614,386,304,242,62,268,270,275,262,1701,227,57,39,655,172,235,330
"62",106.633387,24.392902,"1303975738",175,67,297,5503,268,43,224,239,89,239,89,1508,284,21,79,845,65,845,65
"63",110.462487,23.519195,"1303975236",223,67,276,6007,323,80,243,278,163,295,133,1606,277,35,64,825,116,595,133
"64",110.462487,23.519195,"1303975538",223,67,276,6007,323,80,243,278,163,295,133,1606,277,35,64,825,116,595,133
"65",113.671053,23.651079,"1303975692",222,68,285,5767,320,82,238,273,163,291,136,1718,325,29,70,957,90,624,115
"66",116.545833,6.083333,"2513103114",62,50,737,384,99,31,68,61,61,69,57,2794,313,110,30,929,348,708,447
"67",116.545833,6.083333,"2513661150",62,50,737,384,99,31,68,61,61,69,57,2794,313,110,30,929,348,708,447
"68",116.466667,6.066667,"2513660888",236,49,705,527,272,202,70,235,233,243,228,2294,270,85,33,795,259,600,471
"69",116.55,6.08,"2513661653",42,50,742,370,79,10,68,40,40,48,37,3032,331,128,27,988,401,806,506
"70",116.55,6.083333,"2513659530",46,50,740,376,83,15,68,44,45,53,41,3016,328,132,26,977,416,778,532
"71",116.55,6.083333,"2513662001",46,50,740,376,83,15,68,44,45,53,41,3016,328,132,26,977,416,778,532
"72",116.45,6.183333,"2513662276",261,46,691,554,296,229,66,258,258,268,252,1978,215,85,25,639,272,520,519
"73",116.45,6.183333,"2513662992",261,46,691,554,296,229,66,258,258,268,252,1978,215,85,25,639,272,520,519
"74",116.545833,6.083333,"2513660326",62,50,737,384,99,31,68,61,61,69,57,2794,313,110,30,929,348,708,447
"75",107.957979,22.097768,"1303975271",220,61,290,5252,304,93,211,280,166,280,140,1610,289,29,70,837,110,829,113
"76",112.199131,23.932672,"1303975509",217,66,265,6258,322,72,250,273,154,293,124,1422,243,31,60,677,98,514,129
"77",114.183333,3.35,"2513660388",209,58,771,339,249,174,75,204,212,214,204,4289,545,259,22,1559,794,861,1559
"78",116.183333,1.866667,"2513659987",195,53,815,235,227,162,65,195,192,199,192,3426,339,241,10,967,752,964,752
"79",116.183333,1.866667,"2513661420",195,53,815,235,227,162,65,195,192,199,192,3426,339,241,10,967,752,964,752
"80",117.087456,5.377939,"1055329251",264,61,753,497,305,225,81,255,268,269,255,1932,186,122,13,554,372,442,554
"81",121.591209,24.769892,"1086060185",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"82",121.591446,24.769891,"1086060191",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"83",121.591317,24.769891,"1086060199",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"84",121.590648,24.770526,"1086060201",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"85",121.590816,24.770525,"1086060205",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"86",121.590551,24.772964,"1086060210",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"87",121.590725,24.769984,"1086060216",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"88",121.591158,24.771788,"1086060218",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"89",121.59188,24.771785,"1086060220",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"90",121.591346,24.771787,"1086060221",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"91",121.591406,24.769891,"1086060222",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"92",121.59109,24.769892,"1086060223",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"93",121.59103,24.771788,"1086060224",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"94",121.590862,24.771789,"1086060227",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"95",121.59048,24.76845,"1086060229",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"96",121.590759,24.771067,"1086060230",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"97",121.590395,24.769263,"1086060231",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"98",121.591435,24.771787,"1086060232",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"99",121.590082,24.769986,"1086060233",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"100",121.590565,24.77188,"1086060234",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"101",121.590814,24.769984,"1086060235",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"102",121.590586,24.769984,"1086060237",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"103",121.591723,24.76989,"1086060238",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"104",121.590438,24.769985,"1086060239",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"105",121.5902,24.769986,"1086060240",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"106",121.590905,24.770435,"1086060242",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"107",121.590309,24.769985,"1086060243",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"108",121.591574,24.76989,"1086060244",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"109",121.5913,24.770433,"1086060246",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"110",121.589491,24.768454,"1086060247",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"111",121.590984,24.770525,"1086060248",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"112",121.590961,24.769893,"1086060251",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"113",121.591603,24.771786,"1086060254",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"114",121.590694,24.77188,"1086060256",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"115",121.591696,24.770431,"1086060258",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"116",121.591557,24.770432,"1086060260",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"117",121.591093,24.770434,"1086060262",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"118",121.590447,24.771881,"1086060263",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"119",121.590279,24.771882,"1086060265",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"120",121.591999,24.771784,"1086060266",178,38,217,4671,265,89,175,226,157,239,113,3399,449,173,31,1277,553,1029,600
"121",121.590919,24.773504,"1086060268",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"122",121.590745,24.774317,"1086060270",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"123",121.591429,24.770432,"1086060278",179,38,217,4685,266,90,176,228,159,241,114,3211,410,164,31,1187,516,999,569
"124",116.6,6.08,"1675956094",89,51,735,405,127,57,70,87,88,96,84,2576,277,133,20,783,423,713,546
"125",121.566667,24.266667,"1821877218",123,45,272,4117,206,39,167,144,105,176,67,3133,495,157,43,1468,483,732,575
"126",121.55,24.766667,"1821920941",183,39,217,4732,271,93,178,232,163,245,117,2698,332,147,28,961,446,804,519
"127",121.566667,24.75,"1821985322",192,39,216,4773,280,101,179,241,171,254,125,2702,367,149,30,1010,455,742,514
"128",98.166667,18.966667,"2513660912",173,71,359,2554,266,68,198,188,142,202,129,1658,325,8,84,912,28,540,42
"129",116.65,6.216666,"2513662345",137,48,721,447,173,107,66,133,142,144,131,3135,340,167,22,1008,535,758,994
"130",116.466667,6.033333,"2513662542",231,50,708,522,269,198,71,229,229,239,223,2253,257,92,29,759,283,594,494
"131",121.445833,24.735556,"891634981",143,40,233,4514,229,56,172,166,83,202,81,3773,519,208,29,1435,706,854,808
"132",121.445833,24.735556,"891634982",143,40,233,4514,229,56,172,166,83,202,81,3773,519,208,29,1435,706,854,808
