,name,mon,temp
99,Heloniopsis orientalis var. breviscapa,4,141
100,Heloniopsis orientalis var. breviscapa,4,164
101,Heloniopsis orientalis var. breviscapa,4,164
102,Heloniopsis orientalis var. breviscapa,4,172
103,Heloniopsis orientalis var. breviscapa,4,172
104,Heloniopsis orientalis var. breviscapa,5,188
105,Heloniopsis orientalis var. breviscapa,3,75
106,Heloniopsis orientalis var. breviscapa,4,141
107,Heloniopsis orientalis var. breviscapa,5,172
108,Heloniopsis orientalis var. breviscapa,4,132
109,Heloniopsis orientalis var. breviscapa,4,132
110,Heloniopsis orientalis var. breviscapa,4,132
111,Heloniopsis orientalis var. breviscapa,5,172
112,Heloniopsis orientalis var. breviscapa,5,172
113,Heloniopsis orientalis var. breviscapa,5,172
114,Heloniopsis orientalis var. breviscapa,4,141
115,Heloniopsis orientalis var. breviscapa,6,171
116,Heloniopsis orientalis var. breviscapa,4,104
117,Heloniopsis orientalis var. breviscapa,4,132
118,Heloniopsis orientalis var. flavida,4,110
119,Heloniopsis orientalis var. flavida,3,87
120,Heloniopsis orientalis var. flavida,12,41
121,Heloniopsis orientalis var. flavida,4,121
122,Heloniopsis orientalis var. flavida,4,131
123,Heloniopsis orientalis var. flavida,5,130
124,Heloniopsis orientalis var. flavida,3,76
125,Heloniopsis orientalis var. flavida,3,75
126,Heloniopsis orientalis var. flavida,4,123
127,Heloniopsis orientalis var. flavida,4,122
128,Heloniopsis orientalis var. flavida,4,123
129,Heloniopsis orientalis var. flavida,3,80
130,Heloniopsis orientalis var. flavida,3,73
131,Heloniopsis orientalis var. flavida,4,132
132,Heloniopsis orientalis var. flavida,4,116
133,Heloniopsis orientalis var. flavida,4,128
134,Heloniopsis orientalis var. flavida,4,137
135,Heloniopsis orientalis var. flavida,4,136
136,Heloniopsis orientalis var. flavida,4,116
137,Heloniopsis orientalis var. flavida,10,118
138,Heloniopsis orientalis var. flavida,3,89
139,Heloniopsis orientalis var. flavida,3,85
140,Heloniopsis orientalis var. flavida,3,74
141,Heloniopsis orientalis var. flavida,4,147
142,Heloniopsis orientalis var. flavida,5,155
143,Heloniopsis orientalis var. flavida,4,103
144,Heloniopsis orientalis var. flavida,4,91
145,Heloniopsis orientalis var. flavida,5,179
146,Heloniopsis orientalis var. flavida,3,86
147,Heloniopsis orientalis var. flavida,4,134
148,Heloniopsis orientalis var. flavida,10,153
